RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,plot_x,plot_y,cluster
2414603,12812949,sXXXXXXXXXXXX,777,SXXXX,MXXX,31,1,99329.02,2,1,0,20357.51,0,0,1,SXXXXX,270,2414603.0,1.2812949E7,0
4116211,4448220,sXXXXXXXXXXXX,610,SXXXX,FXXXXX,50,8,126302.68,1,0,0,127753.5,1,0,5,DXXXXXX,346,4116211.0,4448220.0,0
607349,9348793,sXXXXXXXXXXXX,781,GXXXXXX,FXXXXX,50,5,136992.4,1,1,0,139771.44,0,0,3,PXXXXXXX,791,607349.0,9348793.0,1
16378682,11232053,sXXXXXXXXXXXX,512,SXXXX,MXXX,28,8,0.0,2,0,0,71365.85,0,0,5,PXXXXXXX,309,1.6378682E7,1.1232053E7,0
9845238,12485634,sXXXXXXXXXXXX,695,FXXXXX,MXXX,44,2,145859.81,2,1,0,46110.04,0,0,4,SXXXXX,841,9845238.0,1.2485634E7,3
7312440,8659434,sXXXXXXXXXXXX,813,FXXXXX,FXXXXX,49,8,138744.57,2,0,0,86518.77,1,0,4,GXXX,941,7312440.0,8659434.0,2
5566316,16149664,sXXXXXXXXXXXX,519,FXXXXX,MXXX,29,8,97853.64,2,1,0,92963.29,0,0,2,GXXX,783,5566316.0,1.6149664E7,3
14233778,15016045,sXXXXXXXXXXXX,771,FXXXXX,FXXXXX,63,10,94575.48,1,0,0,45762.7,1,0,1,GXXX,425,1.4233778E7,1.5016045E7,2
6330336,15913322,sXXXXXXXXXXXX,614,SXXXX,MXXX,37,4,105774.93,2,1,0,125823.16,0,0,3,PXXXXXXX,507,6330336.0,1.5913322E7,0
15114380,1429548,sXXXXXXXXXXXX,651,SXXXX,MXXX,29,9,56.6,2,1,0,53353.13,0,0,2,PXXXXXXX,435,1.511438E7,1429548.0,0
15426899,1524056,sXXXXXXXXXXXX,576,SXXXX,FXXXXX,47,8,0.0,2,0,0,146584.27,0,0,3,GXXX,878,1.5426899E7,1524056.0,0
15410071,8280902,sXXXXXXXXXXXX,689,GXXXXXX,MXXX,46,8,99508.5,3,1,0,71397.42,1,0,4,PXXXXXXX,974,1.5410071E7,8280902.0,1
16590763,11374782,sXXXXXXXXXXXX,721,GXXXXXX,MXXX,23,4,103927.95,2,0,0,111946.72,0,0,1,GXXX,409,1.6590763E7,1.1374782E7,1
11858280,5320900,sXXXXXXXXXXXX,849,FXXXXX,FXXXXX,45,2,138280.29,1,1,0,39507.18,1,0,1,SXXXXX,375,1.185828E7,5320900.0,2
11012121,15553745,sXXXXXXXXXXXX,750,GXXXXXX,MXXX,36,6,0.0,1,1,0,88915.11,0,0,4,PXXXXXXX,290,1.1012121E7,1.5553745E7,1
12777118,3115989,sXXXXXXXXXXXX,569,FXXXXX,FXXXXX,46,5,107918.99,1,0,0,33372.17,1,0,2,PXXXXXXX,330,1.2777118E7,3115989.0,2
8342663,13981231,sXXXXXXXXXXXX,735,SXXXX,FXXXXX,30,9,0.0,2,0,0,196739.8,0,0,4,SXXXXX,874,8342663.0,1.3981231E7,0
1327313,1780264,sXXXXXXXXXXXX,810,SXXXX,FXXXXX,25,5,0.0,2,0,0,44524.18,0,0,5,PXXXXXXX,743,1327313.0,1780264.0,0
16353374,11658374,sXXXXXXXXXXXX,593,FXXXXX,FXXXXX,26,9,12.05,2,1,0,141706.87,0,0,5,DXXXXXX,270,1.6353374E7,1.1658374E7,3
5326027,133354,sXXXXXXXXXXXX,495,SXXXX,FXXXXX,45,9,74255.76,2,0,0,113071.77,1,0,1,SXXXXX,439,5326027.0,133354.0,0
5791966,2978897,sXXXXXXXXXXXX,502,SXXXX,MXXX,31,9,122899.56,2,1,0,55075.11,0,0,1,DXXXXXX,791,5791966.0,2978897.0,0
373046,8695170,sXXXXXXXXXXXX,548,FXXXXX,FXXXXX,55,3,97948.72,1,1,0,128567.76,0,0,4,DXXXXXX,940,373046.0,8695170.0,3
8562152,3409703,sXXXXXXXXXXXX,503,FXXXXX,MXXX,42,2,114960.55,3,1,0,39863.02,1,0,3,DXXXXXX,461,8562152.0,3409703.0,2
8333023,2609784,sXXXXXXXXXXXX,501,FXXXXX,MXXX,53,5,0.0,2,0,0,110389.45,0,0,3,PXXXXXXX,651,8333023.0,2609784.0,3
5208860,14417942,sXXXXXXXXXXXX,654,SXXXX,FXXXXX,39,8,97817.75,1,0,0,47413.37,0,0,5,PXXXXXXX,566,5208860.0,1.4417942E7,0
16577259,8411771,sXXXXXXXXXXXX,533,SXXXX,MXXX,48,2,115873.7,2,0,0,52654.53,0,0,3,DXXXXXX,841,1.6577259E7,8411771.0,0
12608254,9694587,sXXXXXXXXXXXX,773,SXXXX,FXXXXX,41,8,839.88,2,1,0,122138.46,0,0,4,GXXX,944,1.2608254E7,9694587.0,0
5134683,14487298,sXXXXXXXXXXXX,476,GXXXXXX,FXXXXX,70,0,149471.92,2,0,0,74349.77,0,0,5,PXXXXXXX,556,5134683.0,1.4487298E7,1
14203620,16081715,sXXXXXXXXXXXX,581,SXXXX,FXXXXX,44,6,134144.76,2,0,0,155320.61,0,0,2,PXXXXXXX,722,1.420362E7,1.6081715E7,0
10215577,5230240,sXXXXXXXXXXXX,621,SXXXX,FXXXXX,30,5,125945.77,1,0,0,156382.04,0,0,4,PXXXXXXX,693,1.0215577E7,5230240.0,0
15824379,16153638,sXXXXXXXXXXXX,663,SXXXX,MXXX,42,9,123584.56,2,0,0,153842.1,0,0,3,PXXXXXXX,937,1.5824379E7,1.6153638E7,0
12474476,7869661,sXXXXXXXXXXXX,737,FXXXXX,MXXX,33,9,118177.09,2,1,0,9901.45,0,0,3,GXXX,732,1.2474476E7,7869661.0,3
2469485,2534402,sXXXXXXXXXXXX,714,SXXXX,MXXX,39,5,134738.52,1,1,0,115062.38,0,0,3,PXXXXXXX,905,2469485.0,2534402.0,0
5739315,12041170,sXXXXXXXXXXXX,774,GXXXXXX,MXXX,27,7,88449.0,1,1,0,66588.53,0,0,4,GXXX,772,5739315.0,1.204117E7,1
13000373,397435,sXXXXXXXXXXXX,774,SXXXX,FXXXXX,36,6,123152.07,2,1,0,117214.06,0,0,3,PXXXXXXX,457,1.3000373E7,397435.0,0
13205474,7446723,sXXXXXXXXXXXX,620,FXXXXX,FXXXXX,40,7,69741.92,2,0,0,92726.35,0,0,3,GXXX,290,1.3205474E7,7446723.0,3
6914502,2575273,sXXXXXXXXXXXX,556,GXXXXXX,FXXXXX,50,8,128102.2,1,1,0,36310.69,1,0,4,GXXX,413,6914502.0,2575273.0,1
11003581,699044,sXXXXXXXXXXXX,703,SXXXX,MXXX,45,8,132727.59,2,1,0,50987.56,0,0,4,PXXXXXXX,339,1.1003581E7,699044.0,0
3767625,13053515,sXXXXXXXXXXXX,752,GXXXXXX,FXXXXX,40,5,115872.78,1,1,0,97760.29,0,0,4,DXXXXXX,688,3767625.0,1.3053515E7,4
6527401,6192891,sXXXXXXXXXXXX,671,FXXXXX,FXXXXX,39,6,0.0,1,0,0,143449.34,0,0,4,DXXXXXX,731,6527401.0,6192891.0,3
15898749,389188,sXXXXXXXXXXXX,682,SXXXX,FXXXXX,34,3,0.0,2,0,0,40434.45,0,0,3,PXXXXXXX,317,1.5898749E7,389188.0,0
16524440,13091191,sXXXXXXXXXXXX,621,SXXXX,FXXXXX,36,2,0.0,2,1,0,135499.33,0,0,2,PXXXXXXX,407,1.652444E7,1.3091191E7,0
4689719,2101239,sXXXXXXXXXXXX,502,SXXXX,FXXXXX,42,9,0.0,2,1,0,110808.43,0,0,5,SXXXXX,441,4689719.0,2101239.0,0
7867557,7291926,sXXXXXXXXXXXX,647,GXXXXXX,FXXXXX,35,10,102927.18,3,0,0,187066.73,1,0,4,DXXXXXX,693,7867557.0,7291926.0,4
15066373,5290797,sXXXXXXXXXXXX,834,FXXXXX,MXXX,26,1,1829.61,2,0,0,76602.76,0,0,5,DXXXXXX,548,1.5066373E7,5290797.0,3
1278812,2552237,sXXXXXXXXXXXX,522,SXXXX,MXXX,31,8,642.71,2,1,0,116380.26,0,0,2,PXXXXXXX,841,1278812.0,2552237.0,0
4985079,6143502,sXXXXXXXXXXXX,783,GXXXXXX,MXXX,50,8,128863.25,2,1,0,54549.58,0,0,1,DXXXXXX,649,4985079.0,6143502.0,4
4273856,8795733,sXXXXXXXXXXXX,630,FXXXXX,MXXX,26,7,0.0,2,1,0,71895.43,0,0,3,SXXXXX,904,4273856.0,8795733.0,3
2462125,1897034,sXXXXXXXXXXXX,601,SXXXX,FXXXXX,31,4,0.0,2,1,0,18915.21,0,0,2,GXXX,846,2462125.0,1897034.0,0
1045075,9850812,sXXXXXXXXXXXX,530,FXXXXX,MXXX,39,9,139425.64,1,1,0,44141.48,1,0,1,PXXXXXXX,931,1045075.0,9850812.0,2
3219838,5854678,sXXXXXXXXXXXX,583,FXXXXX,MXXX,42,5,0.0,2,1,0,93665.48,0,0,5,PXXXXXXX,670,3219838.0,5854678.0,3
3938802,14276327,sXXXXXXXXXXXX,802,GXXXXXX,FXXXXX,43,8,115443.6,2,1,0,73670.43,1,0,1,PXXXXXXX,936,3938802.0,1.4276327E7,1
3019280,1063639,sXXXXXXXXXXXX,850,FXXXXX,MXXX,40,3,126385.17,2,1,0,11.58,0,0,5,DXXXXXX,326,3019280.0,1063639.0,3
8125974,12299661,sXXXXXXXXXXXX,675,SXXXX,MXXX,34,1,138747.04,2,1,0,66195.41,0,0,2,DXXXXXX,722,8125974.0,1.2299661E7,0
10750218,2118028,sXXXXXXXXXXXX,603,SXXXX,MXXX,41,1,435.63,1,0,0,81203.33,0,0,1,PXXXXXXX,281,1.0750218E7,2118028.0,0
1424483,6614961,sXXXXXXXXXXXX,786,FXXXXX,MXXX,35,2,0.0,2,0,0,46315.83,0,0,2,PXXXXXXX,916,1424483.0,6614961.0,3
6858741,1553720,sXXXXXXXXXXXX,574,FXXXXX,FXXXXX,39,8,114989.97,3,1,0,80644.27,1,0,4,GXXX,943,6858741.0,1553720.0,2
15670040,15447127,sXXXXXXXXXXXX,549,SXXXX,FXXXXX,23,9,0.0,2,1,0,79819.03,0,0,4,DXXXXXX,873,1.567004E7,1.5447127E7,0
12240096,4470152,sXXXXXXXXXXXX,595,SXXXX,FXXXXX,46,8,95453.74,2,0,0,107921.88,0,0,5,PXXXXXXX,636,1.2240096E7,4470152.0,0
6172853,13878398,sXXXXXXXXXXXX,685,FXXXXX,FXXXXX,34,10,0.0,2,0,0,103872.38,0,0,3,SXXXXX,379,6172853.0,1.3878398E7,3
12921014,13283302,sXXXXXXXXXXXX,764,FXXXXX,FXXXXX,43,10,111971.23,2,1,0,58594.7,0,0,4,DXXXXXX,525,1.2921014E7,1.3283302E7,3
13535506,14608588,sXXXXXXXXXXXX,787,SXXXX,MXXX,33,1,0.0,2,0,0,175745.33,0,0,2,DXXXXXX,395,1.3535506E7,1.4608588E7,0
12521878,3816447,sXXXXXXXXXXXX,572,SXXXX,FXXXXX,38,8,102768.96,1,0,0,60752.43,1,0,3,PXXXXXXX,867,1.2521878E7,3816447.0,0
7686493,14489724,sXXXXXXXXXXXX,502,SXXXX,MXXX,42,8,155014.72,2,0,0,91168.78,0,0,4,GXXX,891,7686493.0,1.4489724E7,0
16540949,13226829,sXXXXXXXXXXXX,677,GXXXXXX,FXXXXX,55,8,115242.61,1,0,0,110696.53,0,0,4,DXXXXXX,921,1.6540949E7,1.3226829E7,4
6091803,3280769,sXXXXXXXXXXXX,703,SXXXX,MXXX,28,1,117954.96,2,1,0,113096.68,0,0,3,PXXXXXXX,664,6091803.0,3280769.0,0
3749566,13416805,sXXXXXXXXXXXX,500,SXXXX,MXXX,44,4,957.0,2,0,0,126714.92,0,0,5,SXXXXX,822,3749566.0,1.3416805E7,0
11315528,12718578,sXXXXXXXXXXXX,629,SXXXX,FXXXXX,45,9,1207.97,2,0,0,92580.02,0,0,2,DXXXXXX,811,1.1315528E7,1.2718578E7,0
9118368,2515622,sXXXXXXXXXXXX,636,FXXXXX,FXXXXX,33,1,75639.07,2,0,0,115530.74,0,0,3,PXXXXXXX,332,9118368.0,2515622.0,3
6220892,5123211,sXXXXXXXXXXXX,654,FXXXXX,FXXXXX,36,9,0.0,2,1,0,99593.83,0,0,3,PXXXXXXX,459,6220892.0,5123211.0,3
3020130,1385455,sXXXXXXXXXXXX,713,FXXXXX,FXXXXX,32,3,843.27,1,1,0,69525.3,0,0,3,PXXXXXXX,498,3020130.0,1385455.0,3
11426567,12138434,sXXXXXXXXXXXX,673,FXXXXX,MXXX,30,5,0.0,2,0,0,93161.48,0,0,3,SXXXXX,223,1.1426567E7,1.2138434E7,3
76484,9399573,sXXXXXXXXXXXX,568,GXXXXXX,FXXXXX,37,9,105620.75,1,1,0,31986.96,0,0,2,PXXXXXXX,801,76484.0,9399573.0,1
8177415,1506211,sXXXXXXXXXXXX,734,GXXXXXX,FXXXXX,61,4,0.0,1,1,0,62822.13,1,0,4,SXXXXX,764,8177415.0,1506211.0,1
3727749,14393622,sXXXXXXXXXXXX,660,SXXXX,MXXX,45,8,138250.84,2,1,0,49997.48,0,0,4,DXXXXXX,631,3727749.0,1.4393622E7,0
3827190,9417998,sXXXXXXXXXXXX,543,FXXXXX,MXXX,66,8,123795.58,2,1,0,100020.65,1,0,3,DXXXXXX,523,3827190.0,9417998.0,2
9754525,10249614,sXXXXXXXXXXXX,725,SXXXX,FXXXXX,39,6,111106.03,1,1,0,122878.82,0,0,2,PXXXXXXX,880,9754525.0,1.0249614E7,0
13857103,11973364,sXXXXXXXXXXXX,765,FXXXXX,MXXX,34,4,116142.44,2,1,0,80584.07,0,0,4,PXXXXXXX,662,1.3857103E7,1.1973364E7,3
495848,4368653,sXXXXXXXXXXXX,583,FXXXXX,FXXXXX,31,4,0.0,2,0,0,42663.54,0,0,2,PXXXXXXX,805,495848.0,4368653.0,3
1886379,13973106,sXXXXXXXXXXXX,594,GXXXXXX,MXXX,29,7,0.0,2,1,0,131802.69,0,0,2,DXXXXXX,259,1886379.0,1.3973106E7,4
989006,5962573,sXXXXXXXXXXXX,648,SXXXX,MXXX,33,5,0.0,2,0,0,174670.87,0,0,5,PXXXXXXX,485,989006.0,5962573.0,0
15517065,922045,sXXXXXXXXXXXX,619,SXXXX,MXXX,26,8,117271.92,2,0,0,152570.96,0,0,3,GXXX,773,1.5517065E7,922045.0,0
3807378,493846,sXXXXXXXXXXXX,534,SXXXX,MXXX,51,6,132962.49,2,0,0,37448.17,1,0,1,PXXXXXXX,322,3807378.0,493846.0,0
2877018,4884473,sXXXXXXXXXXXX,674,GXXXXXX,FXXXXX,69,1,88300.73,1,1,0,32065.2,0,0,4,DXXXXXX,680,2877018.0,4884473.0,4
3380171,6495655,sXXXXXXXXXXXX,802,SXXXX,MXXX,29,7,92399.92,2,1,0,98038.49,0,0,2,GXXX,295,3380171.0,6495655.0,0
14480522,11590545,sXXXXXXXXXXXX,579,SXXXX,FXXXXX,24,5,0.0,2,1,0,48187.6,0,0,1,GXXX,348,1.4480522E7,1.1590545E7,0
13053346,2845326,sXXXXXXXXXXXX,639,FXXXXX,FXXXXX,26,8,0.0,1,0,0,17527.43,0,0,5,PXXXXXXX,472,1.3053346E7,2845326.0,3
2887756,3130939,sXXXXXXXXXXXX,498,SXXXX,FXXXXX,50,2,116476.49,3,0,0,111208.25,1,0,5,SXXXXX,375,2887756.0,3130939.0,0
14212949,2847743,sXXXXXXXXXXXX,708,SXXXX,FXXXXX,34,9,0.0,2,1,0,136784.91,0,0,2,SXXXXX,823,1.4212949E7,2847743.0,0
9177304,3197696,sXXXXXXXXXXXX,509,SXXXX,FXXXXX,26,7,90657.24,2,0,0,64013.5,0,0,1,PXXXXXXX,313,9177304.0,3197696.0,0
8910487,5963287,sXXXXXXXXXXXX,532,GXXXXXX,MXXX,48,6,0.0,2,1,0,20007.22,0,0,5,DXXXXXX,423,8910487.0,5963287.0,4
16209193,2453835,sXXXXXXXXXXXX,671,FXXXXX,FXXXXX,29,3,0.0,2,0,0,150248.43,0,0,2,PXXXXXXX,897,1.6209193E7,2453835.0,3
371559,6088773,sXXXXXXXXXXXX,640,GXXXXXX,MXXX,36,10,87726.24,1,1,0,18470.69,0,0,3,GXXX,679,371559.0,6088773.0,1
3137399,2345013,sXXXXXXXXXXXX,599,SXXXX,FXXXXX,39,9,0.0,2,0,0,26094.18,0,0,3,SXXXXX,800,3137399.0,2345013.0,0
3776277,10824610,sXXXXXXXXXXXX,573,FXXXXX,MXXX,47,9,147919.9,4,1,0,74732.41,1,0,5,GXXX,760,3776277.0,1.082461E7,2
14694683,152264,sXXXXXXXXXXXX,813,GXXXXXX,FXXXXX,50,8,128624.32,1,0,0,40830.33,1,0,5,PXXXXXXX,280,1.4694683E7,152264.0,1
7378110,5242466,sXXXXXXXXXXXX,763,GXXXXXX,FXXXXX,41,5,119363.36,1,1,0,75356.75,0,0,3,DXXXXXX,449,7378110.0,5242466.0,4
4735600,5330420,sXXXXXXXXXXXX,734,FXXXXX,MXXX,40,2,124080.32,1,0,0,189962.23,0,0,5,DXXXXXX,647,4735600.0,5330420.0,3
15244182,7629530,sXXXXXXXXXXXX,602,SXXXX,FXXXXX,34,2,310.93,1,0,0,106888.8,0,0,1,GXXX,545,1.5244182E7,7629530.0,0
3706827,5669807,sXXXXXXXXXXXX,566,FXXXXX,MXXX,37,6,114925.73,3,1,0,195787.88,1,0,1,PXXXXXXX,763,3706827.0,5669807.0,2
5776814,395597,sXXXXXXXXXXXX,714,SXXXX,MXXX,22,8,138583.12,2,0,0,92900.91,0,0,4,PXXXXXXX,585,5776814.0,395597.0,0
15195052,10030885,sXXXXXXXXXXXX,727,FXXXXX,FXXXXX,31,8,112024.3,2,1,0,41234.68,0,0,5,PXXXXXXX,899,1.5195052E7,1.0030885E7,3
14086215,6315526,sXXXXXXXXXXXX,789,SXXXX,MXXX,43,9,0.0,2,1,0,115000.94,0,0,2,PXXXXXXX,770,1.4086215E7,6315526.0,0
11289924,2607184,sXXXXXXXXXXXX,568,SXXXX,FXXXXX,46,9,87.82,2,1,0,91219.28,0,0,1,DXXXXXX,450,1.1289924E7,2607184.0,0
8374617,7675100,sXXXXXXXXXXXX,659,SXXXX,MXXX,38,8,722.14,1,1,0,109864.02,0,0,2,PXXXXXXX,780,8374617.0,7675100.0,0
9238829,13262340,sXXXXXXXXXXXX,597,SXXXX,FXXXXX,20,1,130538.1,2,1,0,93322.06,0,0,5,DXXXXXX,808,9238829.0,1.326234E7,0
11566528,2352210,sXXXXXXXXXXXX,765,GXXXXXX,FXXXXX,28,5,125111.98,2,1,0,65108.47,0,0,3,SXXXXX,251,1.1566528E7,2352210.0,1
11249601,12322837,sXXXXXXXXXXXX,553,GXXXXXX,MXXX,44,9,122015.49,4,1,0,38407.93,1,0,5,DXXXXXX,484,1.1249601E7,1.2322837E7,4
10271546,15318829,sXXXXXXXXXXXX,671,SXXXX,FXXXXX,39,5,117992.79,1,0,0,118829.45,1,0,4,GXXX,296,1.0271546E7,1.5318829E7,0
6305510,14541543,sXXXXXXXXXXXX,639,SXXXX,MXXX,26,3,0.0,2,0,0,154062.97,0,0,4,SXXXXX,332,6305510.0,1.4541543E7,0
1098718,143079,sXXXXXXXXXXXX,570,FXXXXX,FXXXXX,34,5,119722.16,1,1,0,31350.69,0,0,4,PXXXXXXX,444,1098718.0,143079.0,3
6884451,13833415,sXXXXXXXXXXXX,525,GXXXXXX,MXXX,45,5,145166.24,1,1,0,78374.45,1,0,4,DXXXXXX,668,6884451.0,1.3833415E7,4
3005979,1995585,sXXXXXXXXXXXX,528,FXXXXX,FXXXXX,49,2,115364.6,3,1,0,179021.69,1,0,4,PXXXXXXX,425,3005979.0,1995585.0,2
5688323,12701485,sXXXXXXXXXXXX,603,FXXXXX,FXXXXX,30,9,139481.98,2,1,0,52199.43,0,0,2,PXXXXXXX,878,5688323.0,1.2701485E7,3
9972120,2927102,sXXXXXXXXXXXX,582,SXXXX,FXXXXX,26,5,75237.48,1,0,0,28082.45,0,0,4,DXXXXXX,770,9972120.0,2927102.0,0
13810700,3342268,sXXXXXXXXXXXX,662,SXXXX,MXXX,24,2,0.0,2,1,0,7194.56,0,0,3,DXXXXXX,866,1.38107E7,3342268.0,0
14312956,2317670,sXXXXXXXXXXXX,734,GXXXXXX,FXXXXX,46,3,94846.14,1,1,0,118624.32,0,0,2,DXXXXXX,578,1.4312956E7,2317670.0,4
7212361,10285949,sXXXXXXXXXXXX,661,SXXXX,FXXXXX,33,5,105472.78,2,0,0,66985.31,0,0,2,PXXXXXXX,838,7212361.0,1.0285949E7,0
13499120,13894748,sXXXXXXXXXXXX,748,GXXXXXX,MXXX,56,10,83211.01,1,0,0,106381.79,1,0,1,DXXXXXX,542,1.349912E7,1.3894748E7,4
9746175,2574625,sXXXXXXXXXXXX,702,SXXXX,FXXXXX,31,5,112133.82,1,0,0,35771.84,0,0,3,GXXX,635,9746175.0,2574625.0,0
8041565,9952532,sXXXXXXXXXXXX,590,SXXXX,FXXXXX,28,5,157788.98,1,1,0,102188.97,0,0,4,GXXX,746,8041565.0,9952532.0,0
10842861,4449719,sXXXXXXXXXXXX,644,SXXXX,FXXXXX,28,1,102251.12,2,1,0,144985.79,0,0,3,DXXXXXX,601,1.0842861E7,4449719.0,0
